Model,Accuracy,Precision,Recall,F1 Score
RandomForest,0.9875,0.9875,0.9875,0.9875
RandomForest,0.9875,0.9875,0.9875,0.9875
RandomForest,0.9875,0.9875,0.9875,0.9875
RandomForest,0.9875,0.9875,0.9875,0.9875
RandomForest,0.9875,0.9875,0.9875,0.9875
RandomForest,0.9875,0.9875,0.9875,0.9875
RandomForest,0.9875,0.9875,0.9875,0.9875
RandomForest,0.9875,0.9875,0.9875,0.9875
RandomForest,0.9875,0.9875,0.9875,0.9875
DecisionTree,0.9833,0.9833,0.9833,0.9833
DecisionTree,0.9833,0.9833,0.9833,0.9833
DecisionTree,0.9833,0.9833,0.9833,0.9833
DecisionTree,0.9833,0.9833,0.9833,0.9833
DecisionTree,0.9833,0.9833,0.9833,0.9833
DecisionTree,0.9833,0.9833,0.9833,0.9833
DecisionTree,0.9833,0.9833,0.9833,0.9833
DecisionTree,0.9833,0.9833,0.9833,0.9833
DecisionTree,0.9833,0.9833,0.9833,0.9833
LogisticRegression,0.9575,0.9575,0.9575,0.9575
LogisticRegression,0.9575,0.9575,0.9575,0.9575
LogisticRegression,0.9575,0.9575,0.9575,0.9575
LogisticRegression,0.9575,0.9575,0.9575,0.9575
LogisticRegression,0.9575,0.9575,0.9575,0.9575
LogisticRegression,0.9575,0.9575,0.9575,0.9575
LogisticRegression,0.9575,0.9575,0.9575,0.9575
LogisticRegression,0.9575,0.9575,0.9575,0.9575
LogisticRegression,0.9575,0.9575,0.9575,0.9575
CNN_Model,0.91,0.89,0.88,0.9
CNN_Model,0.91,0.89,0.88,0.9
CNN_Model,0.91,0.89,0.88,0.9
LSTM_Model,0.88,0.86,0.85,0.87
LSTM_Model,0.88,0.86,0.85,0.87
LSTM_Model,0.88,0.86,0.85,0.87
DecisionTree,0.775,0.775,0.775,0.775
RandomForest,0.7742,0.7742,0.7742,0.7742
LogisticRegression,0.77,0.77,0.77,0.77
RandomForest,0.7633,0.7633,0.7633,0.7633
LogisticRegression,0.76,0.76,0.76,0.76
DecisionTree,0.6225,0.6225,0.6225,0.6225
