Model,Accuracy,Precision,Recall,F1 Score
RandomForest,0.85,0.83,0.82,0.84
RandomForest,0.765,0.7540343122696065,0.765,0.7586806738986016
RandomForest,0.765,0.7540343122696065,0.765,0.7586806738986016
RandomForest,0.765,0.7540343122696065,0.765,0.7586806738986016
RandomForest,0.765,0.7540343122696065,0.765,0.7586806738986016
RandomForest,0.765,0.7540343122696065,0.765,0.7586806738986016
RandomForest,0.765,0.7540343122696065,0.765,0.7586806738986016
RandomForest,0.765,0.7540343122696065,0.765,0.7586806738986016
RandomForest,0.765,0.7540343122696065,0.765,0.7586806738986016
RandomForest,0.765,0.7540343122696065,0.765,0.7586806738986016
LogisticRegression,0.7491666666666666,0.7507643307168941,0.7491666666666666,0.7499522381255291
DecisionTree,0.7733333333333333,0.7750734714689659,0.7733333333333333,0.774182807373939
RandomForest,0.765,0.7540343122696065,0.765,0.7586806738986016
LogisticRegression,0.7491666666666666,0.7507643307168941,0.7491666666666666,0.7499522381255291
DecisionTree,0.7733333333333333,0.7750734714689659,0.7733333333333333,0.774182807373939
